Mod Key,Group,Generation Type,Required Level,Stats,Spawn Weights
StrengthUnique__29,,unique,1,additional_strength (30 to 40),
StrengthUnique__30,,unique,75,additional_strength (30 to 40),
StrengthUnique__31,,unique,40,additional_strength (15 to 35),
StrengthUnique__32,,unique,100,additional_strength (30 to 50),
StrengthUnique__33,,unique,1,additional_strength (15 to 25),
StrengthUnique__34,,unique,1,additional_strength (15 to 25),
PercentageStrengthUniqueBootsStrInt2,,unique,1,strength_+% (15 to 18),
PercentageStrengthUniqueHelmetStrDex6,,unique,1,strength_+% (5 to 15),
PercentageStrengthUnique__1,,unique,1,strength_+% (-100 to -100),
PercentageStrengthUnique__3,,unique,1,strength_+% (10 to 10),
PercentageStrengthUnique__4_,,unique,1,strength_+% (-10 to -10),
PercentageStrengthUnique__5,,unique,1,strength_+% (6 to 12),
PercentageStrengthImplicitMace1,,unique,1,strength_+% (10 to 10),
Dexterity1,,suffix,1,additional_dexterity (8 to 12),"ring:1000, amulet:1000, gloves:1000, quiver:1000, dex_armour:1000, dex_int_armour:500, str_dex_armour:500, str_dex_int_armour:333, bow:1000, sword:500, axe:500, claw:500, dagger:500"
Dexterity2,,suffix,11,additional_dexterity (13 to 17),"ring:1000, amulet:1000, gloves:1000, quiver:1000, dex_armour:1000, dex_int_armour:500, str_dex_armour:500, str_dex_int_armour:333, bow:1000, sword:500, axe:500, claw:500, dagger:500"
Dexterity3,,suffix,22,additional_dexterity (18 to 22),"ring:1000, amulet:1000, gloves:1000, quiver:1000, dex_armour:1000, dex_int_armour:500, str_dex_armour:500, str_dex_int_armour:333, bow:1000, sword:500, axe:500, claw:500, dagger:500"
Dexterity4,,suffix,33,additional_dexterity (23 to 27),"ring:1000, amulet:1000, gloves:1000, quiver:1000, dex_armour:1000, dex_int_armour:500, str_dex_armour:500, str_dex_int_armour:333, bow:1000, sword:500, axe:500, claw:500, dagger:500"
Dexterity5,,suffix,44,additional_dexterity (28 to 32),"ring:1000, amulet:1000, gloves:1000, quiver:1000, dex_armour:1000, dex_int_armour:500, str_dex_armour:500, str_dex_int_armour:333, bow:1000, sword:500, axe:500, claw:500, dagger:500"
Dexterity6,,suffix,55,additional_dexterity (33 to 37),"ring:1000, amulet:1000, gloves:1000, quiver:1000, dex_armour:1000, dex_int_armour:500, str_dex_armour:500, str_dex_int_armour:333, bow:1000, sword:500, axe:500, claw:500, dagger:500"
Dexterity7,,suffix,66,additional_dexterity (38 to 42),"ring:1000, amulet:1000, gloves:1000, quiver:1000, dex_armour:1000, dex_int_armour:500, str_dex_armour:500, str_dex_int_armour:333, bow:1000, sword:500, axe:500, claw:500, dagger:500"
Dexterity8,,suffix,74,additional_dexterity (43 to 50),"ring:1000, amulet:1000, gloves:1000, quiver:1000, dex_armour:1000, dex_int_armour:500, str_dex_armour:500, str_dex_int_armour:333, bow:1000, sword:500, axe:500, claw:500, dagger:500"
Dexterity9,,suffix,82,additional_dexterity (51 to 55),"ring:1000, amulet:1000, gloves:1000, quiver:1000, dex_armour:1000, dex_int_armour:500, str_dex_armour:500, str_dex_int_armour:333, bow:1000, sword:500, axe:500, claw:500, dagger:500"
Dexterity10,,suffix,85,additional_dexterity (56 to 60),"gloves:1000, quiver:1000"
DexterityEssence7,,suffix,82,additional_dexterity (51 to 58),
DexterityImplicitAmulet1,,unique,7,additional_dexterity (20 to 30),
DexterityImplicitQuiver1,,unique,15,additional_dexterity (30 to 40),
DexterityUniqueRing3,,unique,10,additional_dexterity (10 to 10),
DexterityUniqueBodyDex1,,unique,1,additional_dexterity (40 to 50),
DexterityUniqueBootsInt1,,unique,1,additional_dexterity (5 to 30),
DexterityUniqueBootsStrDex1,,unique,1,additional_dexterity (40 to 60),
DexterityUniqueBootsStrDex1Royale,,unique,1,additional_dexterity (20 to 30),
DexterityUniqueBootsInt2,,unique,1,additional_dexterity (5 to 5),
DexterityUniqueBootsInt3,,unique,1,additional_dexterity (10 to 10),
DexterityUniqueGlovesDex2,,unique,1,additional_dexterity (20 to 30),
DexterityUniqueGlovesStrDex1,,unique,1,additional_dexterity (40 to 50),
DexterityUniqueAmulet7,,unique,10,additional_dexterity (10 to 10),
DexterityUniqueHelmetStrDex2,,unique,1,additional_dexterity (50 to 65),
DexterityUniqueBootsDex1,,unique,1,additional_dexterity (20 to 30),
DexterityUniqueDagger3,,unique,1,additional_dexterity (10 to 20),
DexterityUniqueShieldStrInt2,,unique,1,additional_dexterity (20 to 30),
DexterityUniqueBow4,,unique,1,additional_dexterity (10 to 20),
DexterityUniqueBow6,,unique,1,additional_dexterity (10 to 20),
DexterityUniqueBootsDex3,,unique,1,additional_dexterity (15 to 15),
DexterityUniqueBow7,,unique,1,additional_dexterity (20 to 30),
DexterityUniqueBodyDex4,,unique,1,additional_dexterity (20 to 30),
DexterityUniqueHelmetDex4,,unique,1,additional_dexterity (50 to 70),
DexterityUniqueGlovesStrDex3,,unique,1,additional_dexterity (10 to 10),
DexterityUniqueGlovesInt4__,,unique,1,additional_dexterity (20 to 30),
DexterityUniqueGlovesDexInt4,,unique,1,additional_dexterity (40 to 50),
DexterityUniqueHelmetStrDex3,,unique,1,additional_dexterity (20 to 30),
DexterityUniqueRing8,,unique,1,additional_dexterity (10 to 20),
DexterityUniqueBootsDex4_,,unique,1,additional_dexterity (30 to 40),
DexterityUniqueHelmetDexInt2,,unique,1,additional_dexterity (20 to 30),
DexterityUniqueBootsDexInt2,,unique,1,additional_dexterity (20 to 30),
DexterityUniqueBelt7,,unique,1,additional_dexterity (40 to 55),
DexterityUniqueQuiver6,,unique,1,additional_dexterity (35 to 45),
DexterityUniqueQuiver7,,unique,1,additional_dexterity (30 to 30),
DexterityUniqueBootsDex8,,unique,1,additional_dexterity (20 to 30),
DexterityUniqueDagger11,,unique,1,additional_dexterity (10 to 15),
DexterityUniqueDagger12,,unique,1,additional_dexterity (20 to 20),
DexterityUniqueClaw9,,unique,1,additional_dexterity (10 to 15),
DexterityUnique__1,,unique,53,additional_dexterity (20 to 30),
DexterityUniqueBootsDex9,,unique,1,additional_dexterity (25 to 35),
DexterityUnique__2,,unique,57,additional_dexterity (30 to 40),
DexterityUnique__3,,unique,1,additional_dexterity (30 to 50),
DexterityUnique__4,,unique,1,additional_dexterity (30 to 40),
DexterityUnique__5,,unique,1,additional_dexterity (30 to 40),
DexterityUnique__6,,unique,1,additional_dexterity (20 to 40),
DexterityUnique__7,,unique,1,additional_dexterity (40 to 50),
DexterityUnique__8,,unique,1,additional_dexterity (40 to 50),
DexterityUnique__9,,unique,1,additional_dexterity (25 to 25),
DexterityUnique__10_,,unique,1,additional_dexterity (30 to 40),
DexterityUnique__11,,unique,1,additional_dexterity (40 to 50),
DexterityUnique__12,,unique,1,additional_dexterity (20 to 30),
DexterityUnique__13,,unique,1,additional_dexterity (20 to 20),
DexterityUnique__14,,unique,65,additional_dexterity (20 to 30),
DexterityUnique__15,,unique,1,additional_dexterity (40 to 80),
DexterityUnique__16,,unique,1,additional_dexterity (30 to 40),
DexterityUnique__17,,unique,62,additional_dexterity (20 to 30),
DexterityUnique__18,,unique,1,additional_dexterity (20 to 40),
DexterityUnique__19,,unique,54,additional_dexterity (30 to 40),
DexterityUnique__20__,,unique,1,additional_dexterity (20 to 40),
DexterityUnique__21_,,unique,50,additional_dexterity (10 to 20),
DexterityUnique__22,,unique,1,additional_dexterity (30 to 50),
DexterityUnique__23,,unique,1,additional_dexterity (20 to 50),
DexterityUnique__24,,unique,1,additional_dexterity (30 to 55),
DexterityUnique__25,,unique,1,additional_dexterity (30 to 50),
DexterityUnique__26,,unique,1,additional_dexterity (5 to 10),
DexterityUnique__27,,unique,1,additional_dexterity (20 to 40),
DexterityUnique__28,,unique,1,additional_dexterity (20 to 30),
DexterityUnique__29,,unique,1,additional_dexterity (20 to 30),
DexterityUnique__30,,unique,1,additional_dexterity (30 to 40),
DexterityUnique__31,,unique,20,additional_dexterity (20 to 30),
DexterityUnique__32,,unique,1,additional_dexterity (30 to 40),
DexterityUnique__34,,unique,1,additional_dexterity (15 to 25),
DexterityUnique__35,,unique,58,additional_dexterity (50 to 100),
StrengthAndDexterityUnique_1,,unique,1,additional_strength_and_dexterity (25 to 40),
PercentageDexterityUniqueBodyDex7,,unique,1,dexterity_+% (15 to 15),
PercentageDexterityUniqueHelmetStrDex6,,unique,1,dexterity_+% (5 to 15),
PercentageDexterityUnique__1,,unique,1,dexterity_+% (-100 to -100),
PercentageDexterityUnique__3,,unique,1,dexterity_+% (8 to 12),
PercentageDexterityUnique__4,,unique,1,dexterity_+% (10 to 15),
PercentageDexterityUnique__5,,unique,1,dexterity_+% (15 to 15),
Intelligence1,,suffix,1,additional_intelligence (8 to 12),"ring:1000, amulet:1000, helmet:1000, int_armour:1000, str_int_armour:500, dex_int_armour:500, str_dex_int_armour:500, wand:333, dagger:1000, claw:500, staff:500, sceptre:500"
Intelligence2,,suffix,11,additional_intelligence (13 to 17),"ring:1000, amulet:1000, helmet:1000, int_armour:1000, str_int_armour:500, dex_int_armour:500, str_dex_int_armour:500, wand:333, dagger:1000, claw:500, staff:500, sceptre:500"
Intelligence3,,suffix,22,additional_intelligence (18 to 22),"ring:1000, amulet:1000, helmet:1000, int_armour:1000, str_int_armour:500, dex_int_armour:500, str_dex_int_armour:500, wand:333, dagger:1000, claw:500, staff:500, sceptre:500"
Intelligence4,,suffix,33,additional_intelligence (23 to 27),"ring:1000, amulet:1000, helmet:1000, int_armour:1000, str_int_armour:500, dex_int_armour:500, str_dex_int_armour:500, wand:333, dagger:1000, claw:500, staff:500, sceptre:500"
Intelligence5,,suffix,44,additional_intelligence (28 to 32),"ring:1000, amulet:1000, helmet:1000, int_armour:1000, str_int_armour:500, dex_int_armour:500, str_dex_int_armour:500, wand:333, dagger:1000, claw:500, staff:500, sceptre:500"
Intelligence6,,suffix,55,additional_intelligence (33 to 37),"ring:1000, amulet:1000, helmet:1000, int_armour:1000, str_int_armour:500, dex_int_armour:500, str_dex_int_armour:500, wand:333, dagger:1000, claw:500, staff:500, sceptre:500"
Intelligence7,,suffix,66,additional_intelligence (38 to 42),"ring:1000, amulet:1000, helmet:1000, int_armour:1000, str_int_armour:500, dex_int_armour:500, str_dex_int_armour:500, wand:333, dagger:1000, claw:500, staff:500, sceptre:500"
Intelligence8,,suffix,74,additional_intelligence (43 to 50),"ring:1000, amulet:1000, helmet:1000, int_armour:1000, str_int_armour:500, dex_int_armour:500, str_dex_int_armour:500, wand:333, dagger:1000, claw:500, staff:500, sceptre:500"
Intelligence9,,suffix,82,additional_intelligence (51 to 55),"ring:1000, amulet:1000, helmet:1000, int_armour:1000, str_int_armour:500, dex_int_armour:500, str_dex_int_armour:500, wand:333, dagger:1000, claw:500, staff:500, sceptre:500"
Intelligence10,,suffix,85,additional_intelligence (56 to 60),helmet:1000
IntelligenceEssence7,,suffix,82,additional_intelligence (51 to 58),
IntelligenceUniqueOneHandSword2,,unique,1,additional_intelligence (10 to 10),
IntelligenceImplicitAmulet1,,unique,7,additional_intelligence (20 to 30),
IntelligenceUniqueRing4,,unique,1,additional_intelligence (5 to 20),
IntelligenceUniqueBootsInt1,,unique,1,additional_intelligence (5 to 30),
IntelligenceUniqueBootsInt3,,unique,1,additional_intelligence (20 to 30),
IntelligenceUniqueGlovesInt2,,unique,1,additional_intelligence (20 to 50),
IntelligenceUniqueBelt1,,unique,1,additional_intelligence (20 to 30),
IntelligenceUniqueWand1,,unique,1,additional_intelligence (10 to 10),
IntelligenceUniqueBootsDex1,,unique,1,additional_intelligence (20 to 30),
IntelligenceUniqueWand2,,unique,1,additional_intelligence (10 to 20),
IntelligenceUniqueBootsDex3,,unique,1,additional_intelligence (15 to 15),
IntelligenceUniqueBodyInt3,,unique,1,additional_intelligence (20 to 30),
IntelligenceUniqueShieldDex3,,unique,1,additional_intelligence (40 to 60),
IntelligenceUniqueBodyStrInt3,,unique,1,additional_intelligence (30 to 40),
IntelligenceUniqueGlovesInt3,,unique,1,additional_intelligence (20 to 30),
IntelligenceUniqueGlovesInt5,,unique,1,additional_intelligence (20 to 30),
IntelligenceUniqueHelmetInt5,,unique,1,additional_intelligence (30 to 40),
IntelligenceUniqueHelmetInt6,,unique,1,additional_intelligence (40 to 50),
IntelligenceUniqueHelmetWard1,,unique,1,additional_intelligence (20 to 30),
IntelligenceUniqueRing13,,unique,1,additional_intelligence (60 to 75),
IntelligenceUniqueOneHandAxe1,,unique,1,additional_intelligence (10 to 20),
IntelligenceUniqueSceptre5,,unique,1,additional_intelligence (10 to 20),
IntelligenceUniqueGlovesStr3,,unique,1,additional_intelligence (60 to 80),
IntelligenceUniqueQuiver6,,unique,1,additional_intelligence (15 to 25),
IntelligenceUniqueShieldInt4,,unique,1,additional_intelligence (20 to 30),
IntelligenceUniqueStaff8,,unique,1,additional_intelligence (80 to 120),
IntelligenceUniqueBelt11,,unique,1,additional_intelligence (15 to 25),
IntelligenceUniqueWand8,,unique,1,additional_intelligence (10 to 30),
IntelligenceUniqueHelmetInt9,,unique,1,additional_intelligence (20 to 30),
IntelligenceUniqueDagger10_,,unique,1,additional_intelligence (20 to 40),
IntelligenceUniqueRing34,,unique,1,additional_intelligence (15 to 25),
Intelligence__1,,unique,1,additional_intelligence (20 to 30),
IntelligenceUnique__3,,unique,1,additional_intelligence (15 to 25),
IntelligenceUnique__4,,unique,1,additional_intelligence (20 to 30),
IntelligenceUnique__5,,unique,1,additional_intelligence (40 to 40),
IntelligenceUnique__6,,unique,1,additional_intelligence (20 to 40),
IntelligenceUnique__7,,unique,1,additional_intelligence (20 to 30),
IntelligenceUnique__8,,unique,1,additional_intelligence (30 to 40),
IntelligenceUnique__9,,unique,1,additional_intelligence (40 to 50),
IntelligenceUnique__10,,unique,1,additional_intelligence (30 to 40),
IntelligenceUnique__11,,unique,1,additional_intelligence (40 to 50),
IntelligenceUnique__12,,unique,1,additional_intelligence (20 to 30),
IntelligenceUnique__13,,unique,1,additional_intelligence (20 to 20),
IntelligenceUnique__14,,unique,65,additional_intelligence (20 to 30),
IntelligenceUnique__15_,,unique,1,additional_intelligence (30 to 40),
IntelligenceUnique__16,,unique,60,additional_intelligence (30 to 40),
IntelligenceUnique__17,,unique,1,additional_intelligence (40 to 70),
IntelligenceUnique__18,,unique,1,additional_intelligence (20 to 30),
IntelligenceUnique__19,,unique,1,additional_intelligence (30 to 50),
IntelligenceUnique__20,,unique,1,additional_intelligence (20 to 30),
IntelligenceUnique__21,,unique,1,additional_intelligence (5 to 10),
IntelligenceUnique__22_,,unique,1,additional_intelligence (30 to 50),
IntelligenceUnique__23,,unique,1,additional_intelligence (20 to 30),
IntelligenceUnique__24,,unique,28,additional_intelligence (-25 to -15),
IntelligenceUnique__25,,unique,1,additional_intelligence (20 to 40),
IntelligenceUnique__26_,,unique,1,additional_intelligence (30 to 40),
IntelligenceUnique__27,,unique,1,additional_intelligence (20 to 30),
IntelligenceUnique__28,,unique,50,additional_intelligence (10 to 20),
IntelligenceUnique__29,,unique,1,additional_intelligence (20 to 50),
IntelligenceUnique__30,,unique,62,additional_intelligence (30 to 40),
IntelligenceUnique__32,,unique,1,additional_intelligence (20 to 30),
IntelligenceUnique__33,,unique,1,additional_intelligence (30 to 40),
IntelligenceUnique__34,,unique,1,additional_intelligence (40 to 50),
IntelligenceUnique__35,,unique,1,additional_intelligence (30 to 50),
IntelligenceUnique__36,,unique,1,additional_intelligence (5 to 15),
IntelligenceUnique__37,,unique,1,additional_intelligence (15 to 25),
IntelligenceUnique__38,,unique,1,additional_intelligence (23 to 32),
PercentageIntelligenceUniqueHelmetStrDex6,,unique,1,intelligence_+% (5 to 15),
PercentageIntelligenceUniqueStaff12_,,unique,1,intelligence_+% (14 to 18),
PercentageIntelligenceUnique__1,,unique,1,intelligence_+% (-100 to -100),
PercentageIntelligenceUnique__3,,unique,1,intelligence_+% (8 to 12),
PercentageIntelligenceUnique__4,,unique,1,intelligence_+% (5 to 8),
PercentageIntelligenceUnique__5,,unique,1,intelligence_+% (1 to 7),
AllAttributes1,,suffix,1,additional_all_attributes (1 to 4),"amulet:800, ring:400"
AllAttributes2,,suffix,11,additional_all_attributes (5 to 8),"amulet:800, ring:400"
AllAttributes3,,suffix,22,additional_all_attributes (9 to 12),"amulet:800, ring:400"
AllAttributes4,,suffix,33,additional_all_attributes (13 to 16),"amulet:800, ring:400"
AllAttributes5,,suffix,44,additional_all_attributes (17 to 20),amulet:800
AllAttributes6,,suffix,55,additional_all_attributes (21 to 24),amulet:800
AllAttributes7,,suffix,66,additional_all_attributes (25 to 28),amulet:800
AllAttributes8,,suffix,77,additional_all_attributes (29 to 32),amulet:800
AllAttributes9_,,suffix,85,additional_all_attributes (33 to 35),amulet:800
AllAttributesImplicitAmulet1,,unique,25,additional_all_attributes (10 to 16),
AllAttributesImplicitAmuletRoyale1,,unique,1,additional_all_attributes (10 to 16),
AllAttributesUniqueAmulet8,,unique,1,additional_all_attributes (80 to 100),
AllAttributesUniqueBelt3,,unique,20,additional_all_attributes (20 to 30),
AllAttributesUniqueAmulet9,,unique,1,additional_all_attributes (20 to 40),
AllAttributesImplicitWreath1,,unique,1,additional_all_attributes (16 to 24),
AllAttributesUniqueRing6,,unique,1,additional_all_attributes (10 to 30),
AllAttributesUniqueHelmetStr3,,unique,1,additional_all_attributes (20 to 25),
AllAttributesTestUniqueAmulet1,,unique,1,additional_all_attributes (500 to 500),
AllAttributesUniqueBodyStr3,,unique,1,additional_all_attributes (40 to 50),
AllAttributesUniqueTwoHandMace7,,unique,1,additional_all_attributes (25 to 50),
AllAttributesImplicitDemigodRing1,,unique,16,additional_all_attributes (8 to 12),
AllAttributesImplicitDemigodOneHandSword1,,unique,1,additional_all_attributes (16 to 24),
AllAttributesUniqueRing26,,unique,25,additional_all_attributes (10 to 15),
AllAttributesUniqueHelmetStrInt5,,unique,1,additional_all_attributes (10 to 15),
AllAttributesUniqueStaff10,,unique,1,additional_all_attributes (15 to 20),
AllAttributesUniqueAmulet22,,unique,1,additional_all_attributes (10 to 20),
AllAttributesUnique__1,,unique,1,additional_all_attributes (30 to 50),
AllAttributesUnique__2,,unique,1,additional_all_attributes (10 to 15),
AllAttributesUnique__3,,unique,1,additional_all_attributes (10 to 20),
AllAttributesUnique__4,,unique,1,additional_all_attributes (15 to 20),
AllAttributesUnique__5,,unique,1,additional_all_attributes (25 to 75),
AllAttributesUnique__6,,unique,1,additional_all_attributes (8 to 24),
AllAttributesUnique__7,,unique,57,additional_all_attributes (15 to 30),
AllAttributesUnique__8_,,unique,1,additional_all_attributes (20 to 30),
AllAttributesUnique__9,,unique,1,additional_all_attributes (15 to 20),
AllAttributesUnique__10_,,unique,1,additional_all_attributes (15 to 20),
AllAttributesUnique__11,,unique,1,additional_all_attributes (20 to 30),
AllAttributesUnique__12,,unique,1,additional_all_attributes (15 to 20),
AllAttributesUnique__13_,,unique,1,additional_all_attributes (20 to 20),
AllAttributesUnique__14,,unique,1,additional_all_attributes (15 to 25),
AllAttributesUnique__15,,unique,1,additional_all_attributes (25 to 30),
AllAttributesUnique__16_,,unique,1,additional_all_attributes (15 to 25),
AllAttributesUnique__17_,,unique,65,additional_all_attributes (10 to 20),
AllAttributesUnique__18,,unique,1,additional_all_attributes (20 to 30),
AllAttributesUnique__19,,unique,1,additional_all_attributes (20 to 30),
AllAttributesUnique__20,,unique,1,additional_all_attributes (15 to 20),
AllAttributesUnique__21,,unique,85,additional_all_attributes (25 to 30),
AllAttributesUnique__22_,,unique,60,additional_all_attributes (20 to 30),
AllAttributesUnique__23,,unique,50,additional_all_attributes (5 to 10),
AllAttributesUnique__24,,unique,1,additional_all_attributes (10 to 20),
AllAttributesUnique__25,,unique,1,additional_all_attributes (10 to 20),
AllAttributesUnique__26,,unique,1,additional_all_attributes (10 to 15),
AllAttributesUnique__27,,unique,1,additional_all_attributes (10 to 20),
AllAttributesUnique__28,,unique,1,additional_all_attributes (10 to 15),
AllAttributesUnique__29,,unique,85,additional_all_attributes (10 to 20),
AllAttributesUnique__30,,unique,1,additional_all_attributes (10 to 20),
AllAttributesUnique__31,,unique,1,additional_all_attributes (7 to 13),
IncreasedLife0,,prefix,1,base_maximum_life (3 to 9),default:1000
IncreasedLife1,,prefix,5,base_maximum_life (10 to 24),default:1000
IncreasedLife2,,prefix,11,base_maximum_life (25 to 39),default:1000
IncreasedLife3,,prefix,18,base_maximum_life (40 to 54),default:1000
IncreasedLife4,,prefix,24,base_maximum_life (55 to 69),default:1000
IncreasedLife5,,prefix,30,base_maximum_life (70 to 84),default:1000
IncreasedLife6,,prefix,36,base_maximum_life (85 to 99),default:1000
IncreasedLife7,,prefix,44,base_maximum_life (100 to 114),default:1000
IncreasedLife8,,prefix,54,base_maximum_life (115 to 129),default:1000
IncreasedLife9,,prefix,64,base_maximum_life (130 to 144),default:1000
IncreasedLife10,,prefix,73,base_maximum_life (145 to 159),"shield:1000, body_armour:1000"
IncreasedLife11,,prefix,81,base_maximum_life (160 to 174),body_armour:1000
IncreasedLife12,,prefix,86,base_maximum_life (175 to 189),body_armour:1000
IncreasedLifeEssence1_,,prefix,3,base_maximum_life (5 to 14),
IncreasedLifeEssence2,,prefix,10,base_maximum_life (15 to 30),
IncreasedLifeEssence3,,prefix,26,base_maximum_life (31 to 45),
IncreasedLifeEssence4,,prefix,42,base_maximum_life (46 to 60),
IncreasedLifeEssence5,,prefix,58,base_maximum_life (61 to 75),
